,Lat,Lon,tier,chinese_name
Anqing,117.063755,30.543494,Tier 4,安庆
Baotou,109.840349,40.657378,Tier 3,包头市
Beihai,109.119927,21.481254,Tier 4,北海
Beijing,116.407395,39.904211,Tier 1,北京市
Bengbu,117.389719,32.916287,Tier 4,蚌埠
Changchun,125.323544,43.817071999999996,Tier 2,长春市
Changde,111.698497,29.031672999999998,Tier 4,常德
Changsha,112.938814,28.228209000000003,Tier 1,长沙市
Chengdu,104.066541,30.572269,Tier 1,成都市
Chongqing,106.551557,29.56301,Tier 1,重庆市
Dali,100.267638,25.606486,Tier 4,大理镇
Dalian,121.614682,38.914003,Tier 1,大连市
Dandong,124.354451,40.000787,Tier 3,丹东市
Fuzhou,119.296494,26.074507999999998,Tier 2,福州市
Ganzhou,114.93503,25.831829,Tier 4,赣州
Guangzhou,113.264385,23.12911,Tier 1,广州市
Guilin,110.290195,25.273566,Tier 3,桂林市
Guiyang,106.630154,26.647661,Tier 2,贵阳市
Haikou,110.19829299999999,20.044002,Tier 2,海口市
Hangzhou,120.15507,30.274084999999996,Tier 1,杭州市
Harbin,114.94108899999999,25.827973,Tier 2,哈尔滨市
Hefei,117.22723899999998,31.820587,Tier 2,合肥市
Hohhot,111.74918100000001,40.842585,Tier 3,呼和浩特市
Huizhou,114.416196,23.111847,Tier 2,惠州市
Jilin,126.549572,43.837883000000005,Tier 3,吉林市
Jinan,117.12,36.651216,Tier 2,济南市
Jinhua,119.64744499999999,29.079059,Tier 2,金华市
Jining,116.587099,35.414921,Tier 3,济宁市
Jinzhou,113.53897099999999,22.792258,Tier 4,锦州
Jiujiang,116.00193,29.705078000000004,Tier 3,九江市
Kunming,102.832892,24.880095,Tier 2,昆明市
Lanzhou,103.834304,36.061089,Tier 2,兰州市
Luoyang,112.45403999999999,34.619683,Tier 3,洛阳市
Luzhou,105.44225800000001,28.871810999999997,Tier 3,泰安市
Mudanjiang,129.63316899999998,44.551653,Tier 4,牡丹江
Nanchang,115.858198,28.682892,Tier 2,南昌市
Nanchong,115.858198,28.682892,Tier 3,马鞍山市
Nanjing,118.796877,32.060255,Tier 1,南京市
Nanning,108.366543,22.817002,Tier 2,南宁市
Ningbo,121.54399,29.868336,Tier 1,宁波市
Pingdingshan,113.19266100000002,33.76617,Tier 4,平顶山
Qingdao,120.38261200000001,36.067116999999996,Tier 1,青岛市
Qinhuangdao,119.600493,39.935385,Tier 3,秦皇岛市
Quanzhou,118.675676,24.874132,Tier 2,泉州市
Sanya,109.511909,18.252847,Tier 3,三亚市
Shanghai,121.473701,31.230415999999998,Tier 1,上海市
Shaoguan,113.597522,24.810403,Tier 4,韶关
Shenyang,123.431472,41.805699,Tier 1,沈阳市
Shenzhen,114.057868,22.543098999999998,Tier 1,深圳市
Shijiazhuang,114.51486000000001,38.042307,Tier 2,石家庄市
Taiyuan,112.548879,37.87059,Tier 4,太原
Tangshan,118.180194,39.630866999999995,Tier 3,唐山市
Tianjin,117.20098300000001,39.084158,Tier 1,天津市
Urumqi,87.616848,43.825592,Tier 2,乌鲁木齐市
Wenzhou,120.699367,27.994266999999997,Tier 2,温州市
Wuhan,114.305393,30.593099,Tier 1,武汉市
Wuxi,120.31191000000001,31.49117,Tier 2,无锡市
Xiamen,118.089425,24.479834,Tier 2,厦门市
Xiangfan,112.12241499999999,32.008986,Tier 4,襄阳
Xining,101.778224,36.617134,Tier 3,南充市
Xi’an,101.778224,36.617134,Tier 1,西安市
Xuzhou,117.284124,34.205768,Tier 2,徐州市
Yangzhou,119.412966,32.39421,Tier 3,扬州市
Yantai,121.44793500000002,37.463822,Tier 2,烟台市
Yichang,111.28647099999999,30.691966999999998,Tier 3,宜昌市
Yinchuan,106.23090900000001,38.487194,Tier 3,银川市
Yueyang,113.12895800000001,29.357104,Tier 3,丽水市
Zhanjiang,110.359377,21.270708,Tier 3,湛江市
Zhengzhou,113.625805,34.747040999999996,Tier 1,郑州市
Zunyi,106.92738899999999,27.725654,Tier 4,遵义
