Province/State,Country/Region,Lat,Long
Anhui,Mainland China,31.825709999999997,117.2264
Beijing,Mainland China,40.18238,116.4142
Chongqing,Mainland China,30.05718,107.874
Fujian,Mainland China,26.07783,117.9895
Gansu,Mainland China,36.0611,103.8343
Guangdong,Mainland China,23.33841,113.42200000000001
Guangxi,Mainland China,23.829079999999998,108.7881
Guizhou,Mainland China,26.81536,106.8748
Hainan,Mainland China,19.19673,109.7455
Hebei,Mainland China,38.0428,114.5149
Heilongjiang,Mainland China,47.861999999999995,127.7622
Henan,Mainland China,33.882020000000004,113.61399999999999
Hubei,Mainland China,30.975640000000002,112.2707
Hunan,Mainland China,27.610409999999998,111.7088
Inner Mongolia,Mainland China,44.09448,113.9456
Jiangsu,Mainland China,32.97027,119.464
Jiangxi,Mainland China,27.614009999999997,115.7221
Jilin,Mainland China,43.66657,126.1917
Liaoning,Mainland China,41.292840000000005,122.6086
Ningxia,Mainland China,37.26923,106.1655
Qinghai,Mainland China,35.65945,96.02564
Shaanxi,Mainland China,35.19165,108.8701
Shandong,Mainland China,36.34377,118.1529
Shanghai,Mainland China,31.20327,121.4554
Shanxi,Mainland China,37.577690000000004,112.2922
Sichuan,Mainland China,30.617140000000003,102.7103
Tianjin,Mainland China,39.293620000000004,117.333
Tibet,Mainland China,30.1534,88.7879
Xinjiang,Mainland China,41.11981,85.17822
Yunnan,Mainland China,24.97411,101.4868
Zhejiang,Mainland China,29.182509999999997,120.0985
,Thailand,13.7563,100.5018
,Japan,35.6762,139.6503
,South Korea,37.5665,126.978
Taiwan,Taiwan,23.6978,120.9605
"Seattle, WA",US,47.7511,-120.74
"Chicago, IL",US,40.6331,-89.3985
"Tempe, AZ",US,34.0489,-111.094
Macau,Macau,22.1987,113.5439
Hong Kong,Hong Kong,22.3193,114.1694
,Singapore,1.3521,103.8198
,Vietnam,21.0278,105.8342
,France,46.2276,2.2137
,Nepal,28.3949,84.124
,Malaysia,4.2105,101.9758
"Toronto, ON",Canada,43.6532,-79.3832
British Columbia,Canada,49.2827,-123.12100000000001
"Orange, CA",US,33.7879,-117.8531
"Los Angeles, CA",US,34.0522,-118.2437
New South Wales,Australia,-33.8688,151.2093
Victoria,Australia,-37.8136,144.9631
Queensland,Australia,-27.4698,153.0251
,Cambodia,12.5657,104.991
,Sri Lanka,7.8731,80.7718
,Germany,51.1657,10.4515
,Finland,61.9241,25.7482
,United Arab Emirates,23.4241,53.8478
,Philippines,12.8797,121.774
,India,20.5937,78.9629
"London, ON",Canada,42.9849,-81.2453
,Italy,41.8719,12.5674
,UK,55.3781,-3.4360000000000004
,Russia,61.523999999999994,105.3188
,Sweden,60.1282,18.6435
"Santa Clara, CA",US,37.3541,-121.9552
,Spain,40.4637,-3.7492
South Australia,Australia,-34.9285,138.6007
"Boston, MA",US,42.3601,-71.0589
"San Benito, CA",US,36.5761,-120.9876
,Belgium,50.5039,4.4699
"Madison, WI",US,43.0731,-89.4012
Diamond Princess cruise ship,Others,35.4437,139.638
"San Diego County, CA",US,32.7157,-117.1611
"San Antonio, TX",US,29.4241,-98.4936
,Egypt,26.8206,30.8025
,Iran,32.4279,53.688
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399
From Diamond Princess,Australia,35.4437,139.638
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134
From Diamond Princess,Israel,31.0461,34.8516
,Lebanon,33.8547,35.8623
"Humboldt County, CA",US,40.745,-123.8695
"Sacramento County, CA",US,38.4747,-121.3542
